"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "Less", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\inner-template.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\ng-component-outlet.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\ng-component-outlet.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-component-outlet\ng-component-outlet.component.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 11, 54
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-if\ng-if.component.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 2, 4, 28
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-if\ng-if.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-if\ng-if.component.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 8, 33
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-plural\ng-plural.component.html", "HTML", 0, 0, 0, 0, 0, 93, 0, 0, 8, 6, 107
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-plural\ng-plural.component.less", "Less", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\ng-plural\ng-plural.component.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 10, 46
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\refresh-view\refresh-view.component.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\refresh-view\refresh-view.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\refresh-view\refresh-view.component.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 20, 11, 63
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\brother-router\brother-router.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\brother-router\brother-router.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\brother-router\brother-router.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\child-router\child-router.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\child-router\child-router.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\child-router\child-router.component.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 5, 11, 43
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\router.component.html", "HTML", 0, 0, 0, 0, 0, 9, 0, 0, 3, 3, 15
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\router.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\router\router.component.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 7, 10, 35
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\angular-works.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\angular-works.component.less", "Less", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\angular-works.component.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 8, 31
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\angular-works.module.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\custom-model\custom-model.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\custom-model\custom-model.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\custom-model\custom-model.component.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 10, 39
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\drag-drop\drag-drop.component.html", "HTML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 10, 56
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\drag-drop\drag-drop.component.less", "Less", 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-works\drag-drop\drag-drop.component.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 9, 45
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic.component.html", "HTML", 0, 0, 0, 0, 0, 91, 0, 0, 17, 13, 121
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic.component.less", "Less", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic.component.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 20, 24, 134
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\basic.module.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 36
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\service\data.service.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 20, 17, 83
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\service\data.type.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\service\message.service.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\service\mock.data.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\svg\svg.component.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\svg\svg.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\test\test.component.html", "HTML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\test\test.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\basic\test\test.component.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 2, 10, 44
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap-tesst.component.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 41
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap-tesst.component.less", "Less", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap-tesst.component.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 26, 23, 119
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\bootstrap.module.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 1, 2, 26
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\child\child.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\child\child.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\child\child.component.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 7, 25
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\bootstrap\datatype.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter.component.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 0, 1, 7, 44
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter.component.less", "Less", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter.component.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 18, 21, 104
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\counter\counter.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6.component.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 1, 7, 39
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\es6\es6.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home.component.less", "Less", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home.component.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\home\home.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs-routing.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.component.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 2, 1, 41
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.component.less", "Less", 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.component.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 5, 13, 84
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.interface.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.module.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\rxjs.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 2, 7, 40
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\subjectdiff\subjectdiff.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\subjectdiff\subjectdiff.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\rxjs\subjectdiff\subjectdiff.component.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 4, 14, 60
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 5, 15
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.component.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 32, 28, 125
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.interface.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 5, 9, 35
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\typescript\typescript.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo.component.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 3, 3, 24
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo.component.less", "Less", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo.component.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 1, 10, 41
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\workdemo\workdemo.module.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"d:\2021--自己用框架写的案例\my-Angular\src\app\request-cache.service.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 1, 15, 59
"d:\2021--自己用框架写的案例\my-Angular\src\app\shared\components\code-toggle\code-toggle.component.html", "HTML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
